first_name,second_name,team_name,player_position,player_cost,minutes,goals_scored,assists,clean_sheets,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
Rodrigo,Bentancur,Spurs,MID,5.5,1640,2,0,3,1,293,324.6,208.5,165.0,70.2,1.36,1.02,2.38,26.87
Lucas,Bergvall,Spurs,MID,5.5,1200,0,2,3,0,216,237.2,218.7,97.0,55.0,0.71,0.82,1.53,24.33
Yves,Bissouma,Spurs,MID,5.5,1396,2,0,3,4,258,283.8,133.8,59.0,48.0,0.64,0.48,1.12,26.38
Wilson,Odobert,Spurs,MID,5.5,843,1,0,1,3,92,101.2,108.6,156.0,36.7,1.63,0.76,2.39,16.29
Manor,Solomon,Spurs,MID,5.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Bryan,Gil Salvatierra,Spurs,MID,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Archie,Gray,Spurs,MID,5.0,1750,0,0,2,0,253,254.6,71.4,15.0,34.3,0.03,0.19,0.22,37.33
Mikey,Moore,Spurs,MID,5.0,359,0,2,0,0,51,33.2,45.2,34.0,11.0,0.20,0.56,0.76,6.87
Pape Matar,Sarr,Spurs,MID,5.0,1901,3,2,2,4,365,398.4,257.2,220.0,87.2,3.72,0.78,4.50,36.38
Yang,Min-hyeok,Spurs,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Callum,Olusesi,Spurs,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Dominic,Solanke-Mitchell,Spurs,FWD,7.5,2199,9,5,4,7,404,505.8,199.8,729.0,142.1,10.89,1.13,12.02,40.14
Richarlison,de Andrade,Spurs,FWD,6.5,497,4,1,1,0,138,180.8,57.1,243.0,47.4,3.71,0.60,4.31,7.29
Will,Lankshear,Spurs,FWD,4.5,10,0,0,0,0,7,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.02
Dane,Scarlett,Spurs,FWD,4.5,31,0,1,0,0,20,24.4,11.0,17.0,5.2,0.04,0.00,0.04,0.83
João Maria,Lobo Alves Palhares Costa Palhinha Gonçalves,Spurs,MID,5.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Alphonse,Areola,West Ham,GKP,4.5,2259,0,0,4,1,261,619.8,0.0,0.0,62.1,0.00,0.00,0.00,37.78
Wes,Foderingham,West Ham,GKP,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Krisztián,Hegyi,West Ham,GKP,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
El Hadji Malick,Diouf,West Ham,DEF,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Emerson,Palmieri dos Santos,West Ham,DEF,4.5,2108,2,1,5,4,219,420.4,310.9,173.0,90.4,1.95,2.19,4.14,37.51
Maximilian,Kilman,West Ham,DEF,4.5,3348,0,1,6,5,395,832.6,203.3,149.0,118.8,1.55,1.19,2.74,59.71
Konstantinos,Mavropanos,West Ham,DEF,4.5,2035,0,0,2,4,234,497.0,74.9,160.0,73.2,1.61,0.39,2.00,37.11
Nayef,Aguerd,West Ham,DEF,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Ollie,Scarles,West Ham,DEF,4.5,659,0,0,2,2,98,106.4,54.3,24.0,18.6,0.11,0.18,0.29,10.12
Jean-Clair,Todibo,West Ham,DEF,4.5,1824,0,0,5,1,233,373.0,37.1,35.0,44.5,0.36,0.06,0.42,29.86
Aaron,Wan-Bissaka,West Ham,DEF,4.5,3154,2,6,6,15,496,807.4,531.5,188.0,152.7,1.18,2.75,3.93,56.95
Kaelan,Casey,West Ham,DEF,4.0,1,0,0,0,0,3,2.0,0.0,0.0,0.2,0.00,0.00,0.00,0.09
Lucas,Tolentino Coelho de Lima,West Ham,MID,6.0,2374,4,1,4,5,375,433.2,627.7,267.0,132.6,5.36,3.36,8.72,43.32
Tomáš,Souček,West Ham,MID,6.0,2563,9,2,7,15,442,672.6,231.8,643.0,154.0,6.60,1.27,7.87,44.29
James,Ward-Prowse,West Ham,MID,6.0,1433,1,2,5,2,293,282.4,378.3,138.0,80.0,1.59,2.68,4.27,19.29
Crysencio,Summerville,West Ham,MID,5.5,776,1,1,2,2,129,156.4,246.1,186.0,58.7,1.61,1.71,3.32,17.58
Edson,Álvarez Velázquez,West Ham,MID,5.0,1769,0,1,3,0,221,281.8,213.9,51.0,54.7,0.39,0.89,1.28,30.15
Maxwel,Cornet,West Ham,MID,5.0,71,0,0,0,0,12,11.6,3.5,7.0,2.2,0.16,0.00,0.16,1.79
Guido,Rodríguez,West Ham,MID,5.0,1147,0,1,4,0,193,205.4,79.7,29.0,31.5,0.22,0.17,0.39,20.67
Luis Guilherme,Lira dos Santos,West Ham,MID,5.0,139,0,0,0,0,47,27.6,49.1,32.0,10.8,0.42,0.13,0.55,2.61
George,Earthy,West Ham,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Andy,Irving,West Ham,MID,4.5,161,0,0,0,0,38,37.6,26.5,17.0,8.1,0.13,0.12,0.25,4.48
Lewis,Orford,West Ham,MID,4.5,47,0,0,0,0,13,6.4,27.6,6.0,4.0,0.03,0.04,0.07,1.23
Freddie,Potts,West Ham,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Jarrod,Bowen,West Ham,FWD,8.0,2974,13,11,8,21,678,903.0,737.8,1081.0,271.9,8.60,6.47,15.07,51.12
Niclas,Füllkrug,West Ham,FWD,6.0,783,3,2,2,3,152,187.2,173.3,221.0,56.8,2.14,0.47,2.61,14.22
Callum,Marshall,West Ham,FWD,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Kyle,Walker-Peters,West Ham,DEF,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Callum,Wilson,West Ham,FWD,6.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Mads,Hermansen,West Ham,GKP,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Sam,Johnstone,Wolves,GKP,4.5,630,0,0,0,0,42,193.8,10.0,0.0,20.4,0.00,0.00,0.00,12.98
José,Malheiro de Sá,Wolves,GKP,4.5,2610,0,0,7,4,305,603.4,30.0,0.0,63.4,0.00,0.01,0.01,42.22
Daniel,Bentley,Wolves,GKP,4.0,180,0,0,1,1,29,60.0,0.0,0.0,6.0,0.00,0.00,0.00,3.01
Tom,King,Wolves,GKP,4.0,1,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.14
Emmanuel,Agbadou,Wolves,DEF,4.5,1410,1,0,4,1,223,395.2,57.3,67.0,52.0,0.90,0.32,1.22,23.12
Matt,Doherty,Wolves,DEF,4.5,2105,2,1,6,4,307,502.2,179.9,135.0,81.8,1.12,1.24,2.36,32.68
Hugo,Bueno López,Wolves,DEF,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Yerson,Mosquera Valdelamar,Wolves,DEF,4.5,441,0,0,0,0,24,110.2,27.3,21.0,16.0,0.33,0.03,0.36,5.63
Rodrigo,Martins Gomes,Wolves,DEF,4.5,794,2,0,1,0,183,186.6,180.2,113.0,47.6,0.72,0.87,1.59,16.09
Santiago,Ignacio Bueno,Wolves,DEF,4.5,1678,0,0,5,2,174,345.4,15.8,80.0,44.2,0.45,0.10,0.55,29.40
Toti,Gomes,Wolves,DEF,4.5,2613,0,1,8,8,370,617.2,144.2,102.0,86.5,0.73,0.60,1.33,41.65
Ki-Jana,Hoever,Wolves,DEF,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Bastien,Meupiyou Menadjou,Wolves,DEF,4.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Pedro,Cardoso de Lima,Wolves,DEF,4.0,69,0,0,0,0,9,23.4,34.8,11.0,6.9,0.06,0.10,0.16,0.77
Alfie,Pond,Wolves,DEF,4.0,1,0,0,0,0,3,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Hwang,Hee-chan,Wolves,MID,6.0,646,2,1,0,0,130,111.6,72.7,84.0,26.7,0.79,0.35,1.14,12.57
André,Trindade da Costa Neto,Wolves,MID,5.5,2472,0,0,7,1,436,383.2,285.5,30.0,69.7,0.41,0.52,0.93,40.79
Jean-Ricner,Bellegarde,Wolves,MID,5.5,1666,2,7,6,5,332,355.6,422.8,200.0,97.2,1.46,2.74,4.20,26.55
Fer,López González,Wolves,MID,5.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
João Victor,Gomes da Silva,Wolves,MID,5.5,2975,3,1,6,7,489,513.4,428.9,231.0,117.3,2.94,2.61,5.55,49.50
Gonçalo Manuel,Ganchinho Guedes,Wolves,MID,5.5,979,2,4,3,2,187,215.8,213.9,217.0,64.0,3.28,0.92,4.20,18.83
Marshall,Munetsi,Wolves,MID,5.5,1077,2,2,5,4,134,176.8,132.9,212.0,52.3,3.32,1.08,4.39,14.59
Boubacar,Traoré,Wolves,MID,5.0,1,0,0,0,0,3,4.0,0.0,0.0,0.4,0.00,0.00,0.00,0.00
Tawanda,Chirewa,Wolves,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Tom,Edozie,Wolves,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Enso,González Medina,Wolves,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Joe,Hodge,Wolves,MID,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Jørgen,Strand Larsen,Wolves,FWD,6.5,2587,14,4,7,17,570,646.8,303.4,848.0,179.5,10.14,1.00,11.14,43.94
Fábio,Soares Silva,Wolves,FWD,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Saša,Kalajdžić,Wolves,FWD,5.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Leon,Chiwome,Wolves,FWD,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Nathan,Fraser,Wolves,FWD,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
Jhon,Arias,Wolves,MID,5.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
David,Møller Wolfe,Wolves,DEF,4.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00
